"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2015","6010","ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN EN EL SERVICIO DE RADIODIFUSIÓN SONORA","7","INFORMACIÓN Y COMUNICACIONES","10","INFORMACIÓN Y COMUNICACIONES","145955","15972","6126","131360","243206","335374","4420","234114","64102","1012576","310702","705065","696976","9949","24594","731520","7719","6603","717197","18674","435077","88422","9","251","18925","158698","1530","149","158698","13242","736","6","158567","31144","3959","44","27165","38862","0","38860","2715","41575","24257","748","393","3596","3989","24722","38607","9","38614","1302"
"2013","4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","55148","8622","2454","41213","125473","232595","151661","101742","20718","673403","418352","258332","1124675","6998","40248","1171921","31217","1692","1139013","865803","103233","96620","140","32171","232164","42007","1688","88","41919","4899","272","101","42557","3279","2832","101","346","10360","25","10334","34","10368","1131","3800","1506","12968","14474","1151","1730","14","1738","9609"
"2017","1063","OTROS DERIVADOS DEL CAFÉ","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","183664","24765","9527","111495","961964","231849","522352","1275109","30994","3141505","1293107","1850027","2626032","16762","106540","2753698","10041","129","2743528","1677787","777500","147046","24561","95197","2722091","14574","1571","0","14574","2681","18","0","14592","0","0","0","0","4961","0","4961","0","5723","3565","149","533","822","1354","2614","2833","1","2834","295"
"2014","8551","Formación académica no formal ","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","16","Educación","114253","14911","5231","116128","4731","133097","8795","134595","35527","432874","189913","249989","535285","4825","18064","558174","9031","627","548515","182196","257786","55150","323","14363","327623","43225","9032","407","42817","2973","7648","0","34140","1277","646","0","646","8254","285","7962","65","8027","1508","3536","2","8974","8977","2381","3181","49","3214","6779"
"2018","5229","OTRAS ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","872883","101494","30603","750054","565398","1862056","64625","585850","183753","4228626","2646790","1613797","4263982","83078","97564","4471354","42547","30875","4397943","2286239","1179832","324857","143769","19558","3954255","471919","28497","18346","453573","38960","729","8","457753","16703","9650","329","7064","147083","2383","144706","729","155967","18825","46648","83908","60808","144716","31201","67363","71","67391","100042"
"2018","2023","FABRICACIÓN DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR Y PULIR; PERFUMES Y PREPARADOS DE TOCADOR","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","1209033","140645","45255","362363","603795","2157155","1452357","2039731","251880","6968633","4015010","3027579","9737590","192616","205121","10189113","228980","53198","9906936","5286884","1277981","2183343","312012","149625","9209845","731846","34755","23690","708155","85375","2671","59","714151","55677","28920","6351","20408","233788","2432","231355","2041","257883","39656","14647","138739","44739","183477","44575","101197","17","101209","60130"
"2018","5310","ACTIVIDADES POSTALES NACIONALES","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","164330","17715","5819","147599","66951","254265","1728","90610","31287","605921","377443","231855","1180711","11403","4851","1199448","3804","2077","1193566","710517","162070","204786","15510","982","1093865","101542","1841","17","101525","6485","155","0","101504","343","325","0","24","33464","266","33198","3","36614","10484","3770","8218","10083","18301","7603","14024","4","14026","4874"
"2015","1104","ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS, PRODUCCIÓN DE AGUAS MINERALES Y DE OTRAS AGUAS EMBOTELLADAS","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","433006","48401","15289","351045","242302","1571315","416353","3151050","280655","6012720","2894347","3121288","6665534","27654","258916","6952103","52702","6489","6892912","3742768","462942","1960882","28","21860","3764628","492017","49984","339","492017","81844","35","0","495759","4322","4202","0","242","116429","3471","112959","34","112993","30687","16526","83465","23025","106490","32707","56843","12","56849","64840"
"2013","3092","Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad","3","Manufactura","3","Industrias manufactureras","1340","228","55","1334","45","2716","3069","3345","131","10639","4017","6767","15268","38","50","15356","53","0","15303","12240","1845","857","0","240","2942","548","437","0","548","163","0","0","585","0","0","0","0","146","0","146","0","146","17","30","0","214","214","16","19","0","19","118"
"2018","8512","EDUCACIÓN PREESCOLAR","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","16","EDUCACIÓN","517408","70429","24708","136598","104688","191057","3507","506622","27191","994172","421387","581792","1319072","9670","34179","1362953","43927","1049","1310361","383887","750313","63864","22149","25811","1246023","73162","7127","1143","71937","7188","16417","239","58891","1029","128","0","937","19040","167","18872","94","19480","3944","4109","5535","4802","10325","5433","10840","37","10858","4710"
